string_protein_id,node_idx
9606.ENSP00000215793,0
9606.ENSP00000373979,1
9606.ENSP00000378077,2
9606.ENSP00000384690,3
9606.ENSP00000443459,4
9606.ENSP00000286628,5
9606.ENSP00000310632,6
9606.ENSP00000329890,7
9606.ENSP00000243644,8
9606.ENSP00000320416,9
9606.ENSP00000265563,10
9606.ENSP00000265732,11
9606.ENSP00000333735,12
9606.ENSP00000296003,13
9606.ENSP00000357779,14
9606.ENSP00000337854,15
9606.ENSP00000497777,16
9606.ENSP00000384551,17
9606.ENSP00000493728,18
9606.ENSP00000345344,19
9606.ENSP00000346027,20
9606.ENSP00000387911,21
9606.ENSP00000336587,22
9606.ENSP00000280886,23
9606.ENSP00000480966,24
9606.ENSP00000447057,25
9606.ENSP00000460971,26
9606.ENSP00000444596,27
9606.ENSP00000385828,28
9606.ENSP00000381549,29
9606.ENSP00000497004,30
9606.ENSP00000173527,31
9606.ENSP00000355672,32
9606.ENSP00000433623,33
9606.ENSP00000362513,34
9606.ENSP00000499044,35
9606.ENSP00000495203,36
9606.ENSP00000384629,37
9606.ENSP00000008391,38
9606.ENSP00000254101,39
9606.ENSP00000478766,40
9606.ENSP00000356275,41
9606.ENSP00000474032,42
9606.ENSP00000246229,43
9606.ENSP00000236979,44
9606.ENSP00000319799,45
9606.ENSP00000457380,46
9606.ENSP00000378426,47
9606.ENSP00000326767,48
9606.ENSP00000335306,49
9606.ENSP00000343129,50
9606.ENSP00000348982,51
9606.ENSP00000480715,52
9606.ENSP00000335636,53
9606.ENSP00000301732,54
9606.ENSP00000301921,55
9606.ENSP00000398722,56
9606.ENSP00000364597,57
9606.ENSP00000217456,58
9606.ENSP00000351614,59
9606.ENSP00000054666,60
9606.ENSP00000359630,61
9606.ENSP00000351490,62
9606.ENSP00000252137,63
9606.ENSP00000456974,64
9606.ENSP00000453019,65
9606.ENSP00000367022,66
9606.ENSP00000434034,67
9606.ENSP00000264870,68
9606.ENSP00000362235,69
9606.ENSP00000313950,70
9606.ENSP00000005226,71
9606.ENSP00000409315,72
9606.ENSP00000404042,73
9606.ENSP00000263713,74
9606.ENSP00000323280,75
9606.ENSP00000327545,76
9606.ENSP00000311430,77
9606.ENSP00000386104,78
9606.ENSP00000385936,79
9606.ENSP00000446485,80
9606.ENSP00000229030,81
9606.ENSP00000422097,82
9606.ENSP00000351314,83
9606.ENSP00000325546,84
9606.ENSP00000295981,85
9606.ENSP00000302232,86
9606.ENSP00000348848,87
9606.ENSP00000359096,88
9606.ENSP00000304283,89
9606.ENSP00000401907,90
9606.ENSP00000358513,91
9606.ENSP00000264036,92
9606.ENSP00000360214,93
9606.ENSP00000259632,94
9606.ENSP00000217169,95
9606.ENSP00000312379,96
9606.ENSP00000356978,97
9606.ENSP00000285039,98
9606.ENSP00000296161,99
9606.ENSP00000370293,100
9606.ENSP00000262844,101
9606.ENSP00000289805,102
9606.ENSP00000361219,103
9606.ENSP00000360869,104
9606.ENSP00000496848,105
9606.ENSP00000237853,106
9606.ENSP00000219837,107
9606.ENSP00000276616,108
9606.ENSP00000361140,109
9606.ENSP00000327191,110
9606.ENSP00000413575,111
9606.ENSP00000345179,112
9606.ENSP00000388510,113
9606.ENSP00000305918,114
9606.ENSP00000411124,115
9606.ENSP00000450310,116
9606.ENSP00000231454,117
9606.ENSP00000244573,118
9606.ENSP00000480836,119
9606.ENSP00000318602,120
9606.ENSP00000419027,121
9606.ENSP00000296218,122
9606.ENSP00000215570,123
9606.ENSP00000338030,124
9606.ENSP00000450857,125
9606.ENSP00000265459,126
9606.ENSP00000466025,127
9606.ENSP00000431445,128
9606.ENSP00000336842,129
9606.ENSP00000466880,130
9606.ENSP00000369948,131
9606.ENSP00000483001,132
9606.ENSP00000477502,133
9606.ENSP00000376658,134
9606.ENSP00000479675,135
9606.ENSP00000263054,136
9606.ENSP00000312318,137
9606.ENSP00000200676,138
9606.ENSP00000216264,139
9606.ENSP00000366563,140
9606.ENSP00000377549,141
9606.ENSP00000285979,142
9606.ENSP00000225941,143
9606.ENSP00000243347,144
9606.ENSP00000258034,145
9606.ENSP00000301455,146
9606.ENSP00000387100,147
9606.ENSP00000246841,148
9606.ENSP00000255465,149
9606.ENSP00000379310,150
9606.ENSP00000377257,151
9606.ENSP00000409581,152
9606.ENSP00000252252,153
9606.ENSP00000259881,154
9606.ENSP00000267273,155
9606.ENSP00000497527,156
9606.ENSP00000361548,157
9606.ENSP00000357000,158
9606.ENSP00000364412,159
9606.ENSP00000231137,160
9606.ENSP00000313851,161
9606.ENSP00000264279,162
9606.ENSP00000265080,163
9606.ENSP00000362576,164
9606.ENSP00000301831,165
9606.ENSP00000284202,166
9606.ENSP00000327994,167
9606.ENSP00000492276,168
9606.ENSP00000366748,169
9606.ENSP00000339340,170
9606.ENSP00000371003,171
9606.ENSP00000261751,172
9606.ENSP00000265381,173
9606.ENSP00000250617,174
9606.ENSP00000307515,175
9606.ENSP00000358549,176
9606.ENSP00000405222,177
9606.ENSP00000339659,178
9606.ENSP00000337816,179
9606.ENSP00000380453,180
9606.ENSP00000263196,181
9606.ENSP00000319814,182
9606.ENSP00000417401,183
9606.ENSP00000360793,184
9606.ENSP00000435506,185
9606.ENSP00000007699,186
9606.ENSP00000316114,187
9606.ENSP00000480240,188
9606.ENSP00000387694,189
9606.ENSP00000384792,190
9606.ENSP00000389813,191
9606.ENSP00000368511,192
9606.ENSP00000305725,193
9606.ENSP00000358810,194
9606.ENSP00000410294,195
9606.ENSP00000380763,196
9606.ENSP00000487971,197
9606.ENSP00000268164,198
9606.ENSP00000367029,199
9606.ENSP00000301887,200
9606.ENSP00000323047,201
9606.ENSP00000356864,202
9606.ENSP00000402861,203
9606.ENSP00000362195,204
9606.ENSP00000225276,205
9606.ENSP00000262301,206
9606.ENSP00000359818,207
9606.ENSP00000259818,208
9606.ENSP00000376097,209
9606.ENSP00000296694,210
